iter	Passed	Remaining
0	18	18536
1	36	18209
2	54	18013
3	73	18326
4	91	18176
5	105	17504
6	123	17511
7	141	17566
8	158	17429
9	177	17545
10	195	17595
11	213	17600
12	231	17585
13	249	17589
14	267	17578
15	284	17510
16	302	17494
17	318	17397
18	337	17439
19	354	17353
20	371	17327
21	388	17279
22	407	17325
23	423	17217
24	433	16893
25	449	16852
26	461	16622
27	472	16412
28	484	16210
29	495	16020
30	506	15832
31	517	15663
32	528	15498
33	540	15354
34	557	15358
35	572	15323
36	583	15182
37	594	15052
38	606	14934
39	620	14884
40	631	14768
41	643	14681
42	654	14569
43	665	14465
44	676	14361
45	687	14266
46	699	14176
47	710	14092
48	721	14007
49	733	13927
50	744	13848
51	755	13773
52	767	13705
53	778	13636
54	789	13567
55	801	13502
56	812	13441
57	823	13374
58	834	13316
59	846	13258
60	857	13199
61	868	13141
62	880	13089
63	891	13034
64	902	12977
65	913	12928
66	924	12876
67	935	12823
68	946	12774
69	957	12727
70	969	12683
71	981	12651
72	994	12626
73	1006	12591
74	1018	12560
75	1030	12532
76	1043	12509
77	1056	12488
78	1067	12448
79	1078	12408
80	1087	12339
81	1098	12299
82	1110	12264
83	1121	12227
84	1132	12189
85	1145	12169
86	1156	12133
87	1167	12099
88	1178	12066
89	1190	12033
90	1201	12001
91	1212	11968
92	1223	11933
93	1234	11900
94	1245	11867
95	1256	11834
96	1267	11803
97	1278	11769
98	1290	11741
99	1301	11712
100	1312	11684
101	1324	11657
102	1335	11628
103	1346	11600
104	1359	11587
105	1372	11578
106	1384	11558
107	1396	11534
108	1407	11506
109	1418	11480
110	1430	11454
111	1441	11429
112	1453	11411
113	1465	11386
114	1476	11361
115	1487	11336
116	1499	11313
117	1510	11288
118	1521	11265
119	1533	11245
120	1544	11221
121	1556	11198
122	1567	11173
123	1578	11151
124	1589	11128
125	1601	11106
126	1612	11082
127	1623	11059
128	1634	11037
129	1646	11015
130	1657	10992
131	1668	10971
132	1679	10950
133	1690	10927
134	1701	10902
135	1712	10880
136	1723	10858
137	1735	10837
138	1746	10817
139	1757	10796
140	1769	10779
141	1780	10758
142	1791	10738
143	1803	10719
144	1814	10700
145	1826	10681
146	1837	10662
147	1848	10644
148	1860	10625
149	1871	10605
150	1882	10586
151	1894	10567
152	1905	10546
153	1916	10527
154	1927	10508
155	1938	10490
156	1950	10471
157	1958	10437
158	1970	10421
159	1981	10402
160	1993	10385
161	2001	10355
162	2013	10338
163	2024	10319
164	2036	10306
165	2049	10295
166	2060	10279
167	2075	10277
168	2086	10261
169	2098	10244
170	2109	10226
171	2121	10213
172	2133	10198
173	2144	10180
174	2155	10163
175	2167	10147
176	2177	10126
177	2189	10109
178	2200	10092
179	2211	10075
180	2223	10059
181	2234	10042
182	2246	10027
183	2258	10014
184	2269	9997
185	2280	9980
186	2291	9963
187	2302	9946
188	2314	9930
189	2325	9913
190	2336	9896
191	2347	9878
192	2358	9862
193	2369	9845
194	2381	9829
195	2392	9812
196	2402	9794
197	2413	9777
198	2425	9761
199	2436	9746
200	2447	9730
201	2459	9714
202	2469	9697
203	2481	9681
204	2492	9664
205	2503	9649
206	2514	9632
207	2525	9618
208	2537	9603
209	2548	9587
210	2559	9571
211	2570	9555
212	2582	9540
213	2593	9524
214	2604	9509
215	2615	9493
216	2626	9478
217	2638	9463
218	2649	9449
219	2661	9434
220	2672	9419
221	2683	9404
222	2694	9389
223	2706	9374
224	2717	9360
225	2728	9345
226	2740	9330
227	2751	9315
228	2762	9300
229	2773	9286
230	2785	9272
231	2796	9257
232	2807	9243
233	2819	9228
234	2830	9213
235	2841	9199
236	2852	9184
237	2864	9170
238	2875	9155
239	2886	9140
240	2898	9128
241	2909	9114
242	2921	9100
243	2932	9085
244	2943	9071
245	2955	9058
246	2970	9054
247	2981	9039
248	2992	9025
249	3003	9010
250	3014	8996
251	3025	8981
252	3037	8967
253	3048	8952
254	3059	8937
255	3070	8923
256	3081	8909
257	3093	8895
258	3106	8887
259	3119	8877
260	3129	8862
261	3141	8848
262	3152	8834
263	3165	8823
264	3178	8815
265	3190	8803
266	3201	8789
267	3213	8776
268	3224	8762
269	3235	8748
270	3247	8734
271	3258	8721
272	3269	8707
273	3280	8693
274	3292	8679
275	3303	8665
